id,species,site,red.mean,red.sd,red.median,green.mean,green.sd,green.median,blue.mean,blue.sd,blue.median
PP_27,hybrid,Porcupine Ridge,156.44,18.02,158,137.81,17.89,137,87.25,24.68,87
PP_26,hybrid,Porcupine Ridge,151.64,24.01,151,105.77,28.51,103,98.71,28.4,97
PP_29,hybrid,Porcupine Ridge,178.51,19.42,180,123.65,29.71,123,118.18,36.51,118
PP_30,hybrid,Porcupine Ridge,192.58,17.65,195,148.3,29.22,151,156.38,31.28,162
PP_31,hybrid,Porcupine Ridge,93.01,19.27,95,64.82,20.67,65,36.32,16.2,36
PP_32,hybrid,Porcupine Ridge,154.81,18.27,159,113.23,22.47,117,82.97,21.71,87
PP_33,hybrid,Porcupine Ridge,185.96,16.83,188,132.66,29.18,131,131.88,25.27,129
PP_34,hybrid,Porcupine Ridge,170.66,26.77,166,140.07,30.43,131,101.62,36.5,87
PP_35,hybrid,Porcupine Ridge,135.39,15.38,137,93.36,22.19,93,67.62,24.45,65
PP_36,hybrid,Porcupine Ridge,185.89,13.98,188,142.01,22.03,146,129.06,25.8,134
PP_37,hybrid,Porcupine Ridge,170.97,16.71,172,165.34,18.91,167,157.64,18.11,159
MR_01,flavescens,Mission Ridge,165.77,,,160.78,,,,,
MR_02,flavescens,Mission Ridge,180.42,,,164.4,,,,,
MR_03,flavescens,Mission Ridge,149.91,,,153.29,,,,,
MR_04,flavescens,Mission Ridge,141.51,,,142.02,,,,,
MR_05,flavescens,Mission Ridge,162.58,,,165.56,,,,,
MR_06,flavescens,Mission Ridge,153.05,,,152.46,,,,,
MR_07,flavescens,Mission Ridge,151.82,,,154.71,,,,,
MR_08,flavescens,Mission Ridge,151.95,,,148.39,,,,,
MR_09,flavescens,Mission Ridge,158.8,,,154.15,,,,,
MR_10,flavescens,Mission Ridge,137.79,,,132.26,,,,,
MR_11,flavescens,Mission Ridge,118.37,,,96.63,,,,,
MR_12,flavescens,Mission Ridge,166.09,,,166.72,,,,,
MR_13,flavescens,Mission Ridge,115.41,,,111.41,,,,,
MR_14,flavescens,Mission Ridge,200.16,,,193.35,,,,,
MR_15,flavescens,Mission Ridge,169.99,,,152.69,,,,,
MR_16,flavescens,Mission Ridge,161.47,,,151.53,,,,,
MR_17,flavescens,Mission Ridge,154.58,,,149.08,,,,,
MR_18,flavescens,Mission Ridge,153.79,,,135,,,,,
MR_19,flavescens,Mission Ridge,167.09,,,162,,,,,
GL_3362,flavescens,Cheops Mountain,156.69,25.01,156,151.93,24.54,150,84,33.81,81
GL_3365,flavescens,Cheops Mountain,169.75,31.05,172,161.5,31.09,161,110.31,37.63,108
GL_3368,flavescens,Cheops Mountain,160.49,19.61,162,134.33,19.99,134,96.52,23.47,98
GL_3370,flavescens,Cheops Mountain,185.26,24.53,188,161.96,27.56,162,117.11,33.2,118
GL_3373,flavescens,Cheops Mountain,149.37,17.85,150,143.13,16.93,144,87.13,23.49,88
